"","word","Life and Times (1881)","My Bondage (1855)","Narrative Life (1845)","Travel Diary","sum_word_counts"
"3713","merciful",2,3,2,0,7
"3714","model",3,3,1,0,7
"3715","moderate",6,1,0,0,7
"3716","moses",3,1,0,3,7
"3717","mysteries",2,5,0,0,7
"3718","narrated",2,5,0,0,7
"3719","nathaniel",5,2,0,0,7
"3720","neglect",3,2,2,0,7
"3721","new",0,0,0,7,7
"3722","noon",2,1,2,2,7
"3723","nothing",0,0,0,7,7
"3724","nurse",3,4,0,0,7
"3725","o’connell",7,0,0,0,7
"3726","oaths",2,2,3,0,7
"3727","obedient",4,2,1,0,7
"3728","occupy",4,3,0,0,7
"3729","odds",5,1,1,0,7
"3730","ofthis",7,0,0,0,7
"3731","one’s",3,4,0,0,7
"3732","oppose",2,4,0,1,7
"3733","organized",5,1,1,0,7
"3734","overcome",2,2,3,0,7
"3735","overthrow",2,3,2,0,7
"3736","painfully",4,3,0,0,7
"3737","pamphlet",2,5,0,0,7
"3738","partial",3,3,1,0,7
"3739","partof",7,0,0,0,7
"3740","peaceable",5,1,1,0,7
"3741","peculiarly",2,3,2,0,7
"3742","penalty",2,3,2,0,7
"3743","perils",4,2,1,0,7
"3744","personally",5,2,0,0,7
"3745","piled",4,3,0,0,7
"3746","pitt",3,4,0,0,7
"3747","planting",1,5,1,0,7
"3748","poet",4,2,1,0,7
"3749","possessing",2,4,1,0,7
"3750","practically",4,3,0,0,7
"3751","praying",1,5,1,0,7
"3752","predicted",4,1,2,0,7
"3753","preparing",2,2,2,1,7
"3754","prevailed",4,2,1,0,7
"3755","professing",4,1,2,0,7
"3756","protestant",2,3,0,2,7
"3757","proverb",2,4,1,0,7
"3758","publication",4,3,0,0,7
"3759","punishing",3,3,1,0,7
"3760","pursuing",3,2,2,0,7
"3761","quit",5,2,0,0,7
"3762","radical",5,2,0,0,7
"3763","range",3,3,0,1,7
"3764","readers",4,3,0,0,7
"3765","reference",4,2,1,0,7
"3766","reflecting",3,3,1,0,7
"3767","refuge",3,2,2,0,7
"3768","region",3,2,1,1,7
"3769","regrets",3,3,0,1,7
"3770","reminding",2,3,1,1,7
"3771","removing",4,2,1,0,7
"3772","repeatedly",5,2,0,0,7
"3773","repentance",2,5,0,0,7
"3774","residing",4,2,1,0,7
"3775","resolute",4,3,0,0,7
"3776","resolve",3,4,0,0,7
"3777","restraint",2,5,0,0,7
"3778","resulting",2,4,1,0,7
"3779","revenge",4,3,0,0,7
"3780","reverse",2,3,1,1,7
"3781","revived",4,1,2,0,7
"3782","richly",2,2,1,2,7
"3783","risen",4,2,0,1,7
"3784","rivalry",3,4,0,0,7
"3785","rolled",3,3,0,1,7
"3786","room",0,0,0,7,7
"3787","rudely",4,3,0,0,7
"3788","ruined",2,4,1,0,7
"3789","ruins",0,0,0,7,7
"3790","rulers",5,1,1,0,7
"3791","runs",2,3,1,1,7
"3792","saints",1,2,2,2,7
"3793","salary",5,1,0,1,7
"3794","sally",4,2,1,0,7
"3795","saxon",2,5,0,0,7
"3796","scarred",3,3,1,0,7
"3797","scream",2,3,2,0,7
"3798","scriptures",2,5,0,0,7
"3799","sealed",4,3,0,0,7
"3800","searching",2,4,0,1,7
"3801","securing",2,4,1,0,7
"3802","seem",0,0,0,7,7
"3803","selling",3,3,0,1,7
"3804","semi",2,5,0,0,7
"3805","servility",4,2,1,0,7
"3806","settlement",5,2,0,0,7
"3807","shirts",1,3,3,0,7
"3808","show",0,0,0,7,7
"3809","sights",2,4,0,1,7
"3810","simplicity",2,3,2,0,7
"3811","slave_",0,7,0,0,7
"3812","slender",3,4,0,0,7
"3813","small",0,0,0,7,7
"3814","smoke",0,0,1,6,7
"3815","snake",3,3,1,0,7
"3816","sole",4,2,1,0,7
"3817","song",3,3,1,0,7
"3818","stables",4,3,0,0,7
"3819","stake",2,4,1,0,7
"3820","starvation",3,3,1,0,7
"3821","stearns",7,0,0,0,7
"3822","steel",3,4,0,0,7
"3823","stones",3,1,2,1,7
"3824","stunned",3,3,1,0,7
"3825","subjects",3,3,0,1,7
"3826","subsided",3,3,1,0,7
"3827","succor",2,4,1,0,7
"3828","suggest",1,3,2,1,7
"3829","sunbeams",2,3,1,1,7
"3830","sung",2,4,1,0,7
"3831","sunk",3,3,1,0,7
"3832","supposing",3,3,0,1,7
"3833","suppressed",4,2,1,0,7
"3834","surpassed",3,2,1,1,7
"3835","surrounding",4,2,0,1,7
"3836","swamp",2,3,2,0,7
"3837","syracuse",7,0,0,0,7
"3838","tents",3,4,0,0,7
"3839","testimonial",3,3,1,0,7
"3840","thathe",7,0,0,0,7
"3841","therewas",7,0,0,0,7
"3842","therewere",7,0,0,0,7
"3843","thirteen",3,4,0,0,7
"3844","thiswas",7,0,0,0,7
"3845","thought",0,0,0,7,7
"3846","throng",3,2,1,1,7
"3847","thumb",1,5,1,0,7
"3848","thunder",3,3,1,0,7
"3849","tidings",2,3,1,1,7
"3850","tilled",1,2,2,2,7
"3851","todo",7,0,0,0,7
"3852","tolerably",5,2,0,0,7
"3853","tomy",7,0,0,0,7
"3854","top",2,1,0,4,7
"3855","tore",3,3,1,0,7
"3856","tormentors",1,5,1,0,7
"3857","tracy",7,0,0,0,7
"3858","treasured",3,4,0,0,7
"3859","treasures",2,2,1,2,7
"3860","tricks",3,4,0,0,7
"3861","triumphant",5,2,0,0,7
"3862","tumult",6,1,0,0,7
"3863","tyranny",1,6,0,0,7
"3864","unconscious",4,2,1,0,7
"3865","uncultivated",3,3,1,0,7
"3866","undersigned",5,1,1,0,7
"3867","underthe",7,0,0,0,7
"3868","unfortunate",5,1,1,0,7
"3869","unhappily",4,3,0,0,7
"3870","universe",3,2,1,1,7
"3871","university",7,0,0,0,7
"3872","unloading",2,3,2,0,7
"3873","unnecessary",4,2,1,0,7
"3874","unusually",3,4,0,0,7
"3875","unutterable",1,2,4,0,7
"3876","vanity",3,4,0,0,7
"3877","venice",0,0,0,7,7
"3878","viewing",1,3,1,2,7
"3879","vividly",3,3,1,0,7
"3880","waiters",5,2,0,0,7
"3881","warmly",4,2,1,0,7
"3882","wasted",3,3,1,0,7
"3883","wayland",2,0,0,5,7
"3884","wheni",7,0,0,0,7
"3885","whig",4,3,0,0,7
"3886","whirlwind",6,1,0,0,7
"3887","wing",1,3,2,1,7
"3888","wings",3,3,1,0,7
"3889","witha",7,0,0,0,7
"3890","withhold",5,2,0,0,7
"3891","wives",1,5,1,0,7
"3892","youthful",2,4,1,0,7
"3893","_free_",1,5,0,0,6
"3894","_in",1,5,0,0,6
"3895","_life",0,5,1,0,6
"3896","_me_",2,4,0,0,6
"3897","_possible_",1,5,0,0,6
"3898","_white_",2,4,0,0,6
"3899","1846",4,2,0,0,6
"3900","3",2,2,2,0,6
"3901","abhorred",2,3,1,0,6
"3902","abject",4,2,0,0,6
"3903","abolishing",3,2,1,0,6
"3904","accosted",3,3,0,0,6
"3905","accumulating",2,3,1,0,6
"3906","acts",3,3,0,0,6
"3907","adjudged",4,1,1,0,6
"3908","adversity",3,3,0,0,6
"3909","advertisements",1,5,0,0,6
"3910","advocacy",5,1,0,0,6
"3911","advocated",5,1,0,0,6
"3912","affecting",3,2,1,0,6
"3913","ague",2,3,1,0,6
"3914","alarmed",5,1,0,0,6
"3915","allowing",2,3,1,0,6
"3916","altar",1,4,1,0,6
"3917","alternative",3,2,1,0,6
"3918","amusement",1,3,0,2,6
"3919","andhaving",6,0,0,0,6
"3920","andthat",6,0,0,0,6
"3921","anger",3,2,1,0,6
"3922","annapolis",3,1,2,0,6
"3923","annexation",6,0,0,0,6
"3924","appeals",3,2,1,0,6
"3925","appears",3,2,1,0,6
"3926","argued",1,3,2,0,6
"3927","arise",3,3,0,0,6
"3928","arising",3,3,0,0,6
"3929","aristocratic",4,2,0,0,6
"3930","arraigned",3,2,1,0,6
"3931","arrangements",2,3,0,1,6
"3932","asi",6,0,0,0,6
"3933","asleep",2,3,1,0,6
"3934","asserting",3,3,0,0,6
"3935","assets",6,0,0,0,6
"3936","assigns",2,4,0,0,6
"3937","assisting",5,1,0,0,6
"3938","associates",3,3,0,0,6
"3939","association",3,1,1,1,6
"3940","assurances",5,1,0,0,6
"3941","assure",5,1,0,0,6
"3942","atmosphere",4,2,0,0,6
"3943","attempting",3,3,0,0,6
"3944","attraction",1,4,1,0,6
"3945","attributed",2,2,2,0,6
"3946","authorized",3,3,0,0,6
"3947","availed",3,1,2,0,6
"3948","averse",2,4,0,0,6
"3949","awaited",2,4,0,0,6
"3950","awakening",2,4,0,0,6
"3951","away",0,0,0,6,6
"3952","baby",2,2,2,0,6
"3953","barbarism",5,1,0,0,6
"3954","beecher",5,1,0,0,6
"3955","beef",2,2,2,0,6
"3956","beforethe",6,0,0,0,6
"3957","begging",3,0,1,2,6
"3958","betsey",3,2,1,0,6
"3959","birthright",3,3,0,0,6
"3960","blacksmith’s",3,2,1,0,6
"3961","blank",3,3,0,0,6
"3962","blasphemy",1,4,1,0,6
"3963","blaze",2,4,0,0,6
"3964","blowing",1,2,1,2,6
"3965","boasting",2,4,0,0,6
"3966","boot",2,2,2,0,6
"3967","boyish",1,5,0,0,6
"3968","brighter",4,2,0,0,6
"3969","broader",3,3,0,0,6
"3970","bull",2,3,1,0,6
"3971","burdens",2,2,2,0,6
"3972","burnt",2,2,1,1,6
"3973","butter",3,3,0,0,6
"3974","buyers",2,4,0,0,6
"3975","calk",2,2,2,0,6
"3976","calmly",3,2,0,1,6
"3977","campaign",6,0,0,0,6
"3978","capitol",5,1,0,0,6
"3979","carpenter",5,1,0,0,6
"3980","casks",3,2,1,0,6
"3981","cat",1,4,1,0,6
"3982","cathedral",0,0,0,6,6
"3983","cautiously",3,3,0,0,6
"3984","celebrated",1,3,1,1,6
"3985","charleston",6,0,0,0,6
"3986","charming",3,1,0,2,6
"3987","cheering",2,3,1,0,6
"3988","cherish",4,1,1,0,6
"3989","chill",3,2,1,0,6
"3990","chilling",2,4,0,0,6
"3991","cholera",3,3,0,0,6
"3992","clad",3,2,0,1,6
"3993","cleveland",6,0,0,0,6
"3994","clever",1,3,1,1,6
"3995","clifford",1,5,0,0,6
"3996","closet",3,2,1,0,6
"3997","coloredpeople",6,0,0,0,6
"3998","columbian",5,0,1,0,6
"3999","commend",4,1,0,1,6
"4000","concealment",3,3,0,0,6
"4001","condemn",3,3,0,0,6
"4002","confession",3,3,0,0,6
"4003","confiding",4,2,0,0,6
"4004","conform",3,2,1,0,6
"4005","constitute",2,4,0,0,6
"4006","contained",4,1,1,0,6
"4007","contemplating",2,3,0,1,6
"4008","continuance",1,4,1,0,6
"4009","coolness",1,3,2,0,6
"4010","correct",2,3,1,0,6
"4011","correspondence",3,3,0,0,6
"4012","count",3,2,1,0,6
"4013","cradle",3,1,2,0,6
"4014","creditable",3,2,1,0,6
"4015","crippled",4,2,0,0,6
"4016","crossing",2,1,1,2,6
"4017","crow",2,4,0,0,6
"4018","crying",2,1,3,0,6
"4019","culture",0,6,0,0,6
"4020","dank",2,2,2,0,6
"4021","darken",2,1,2,1,6
"4022","darker",2,1,2,1,6
"4023","darkest",1,3,2,0,6
"4024","dawning",3,3,0,0,6
"4025","daybreak",3,3,0,0,6
"4026","daylight",3,2,1,0,6
"4027","december",2,4,0,0,6
"4028","defenders",3,3,0,0,6
"4029","degrees",3,2,1,0,6
"4030","delivery",5,1,0,0,6
"4031","denouncing",3,3,0,0,6
"4032","denying",2,4,0,0,6
"4033","descent",5,0,1,0,6
"4034","desperation",2,3,1,0,6
"4035","devices",4,2,0,0,6
"4036","dictionary",2,3,1,0,6
"4037","differences",4,1,1,0,6
"4038","dignified",5,1,0,0,6
"4039","dimensions",3,2,1,0,6
"4040","dine",3,2,0,1,6
"4041","dining",2,2,0,2,6
"4042","disappeared",5,1,0,0,6
"4043","discipline",1,4,1,0,6
"4044","dismemberment",6,0,0,0,6
"4045","dispel",3,3,0,0,6
"4046","disturbing",3,3,0,0,6
"4047","dose",2,2,2,0,6
"4048","draft",6,0,0,0,6
"4049","dress",2,2,1,1,6
"4050","drivers",3,2,1,0,6
"4051","drunkenness",2,4,0,0,6
"4052","eagle",4,1,0,1,6
"4053","eating",2,4,0,0,6
"4054","eighteen",3,2,0,1,6
"4055","elder",4,1,0,1,6
"4056","elect",6,0,0,0,6
"4057","elected",5,1,0,0,6
"4058","elevate",3,3,0,0,6
"4059","eleven",3,2,1,0,6
"4060","eliza",1,4,1,0,6
"4061","embers",1,3,2,0,6
"4062","embrace",2,2,2,0,6
"4063","eminence",3,3,0,0,6
"4064","emotion",2,2,2,0,6
"4065","empty",5,1,0,0,6
"4066","enactment",0,6,0,0,6
"4067","endless",3,3,0,0,6
"4068","endowments",3,3,0,0,6
"4069","enforce",4,2,0,0,6
"4070","enforcement",2,3,1,0,6
"4071","engagement",3,0,3,0,6
"4072","englishman",3,2,0,1,6
"4073","enlightenment",5,0,1,0,6
"4074","esq",3,1,2,0,6
"4075","even",0,0,0,6,6
"4076","exchanged",4,2,0,0,6
"4077","exciting",5,1,0,0,6
"4078","exerted",3,3,0,0,6
"4079","exhibit",2,3,0,1,6
"4080","expectation",2,3,0,1,6
"4081","experiment",5,0,1,0,6
"4082","expired",4,1,1,0,6
"4083","expressive",4,2,0,0,6
"4084","extending",3,3,0,0,6
"4085","extensive",2,2,1,1,6
"4086","far",0,0,0,6,6
"4087","fat",3,3,0,0,6
"4088","fellowmen",4,1,1,0,6
"4089","fierceness",2,1,3,0,6
"4090","fishermen",2,3,1,0,6
"4091","fitting",4,1,1,0,6
"4092","flee",5,1,0,0,6
"4093","fletcher",0,0,0,6,6
"4094","flew",3,2,1,0,6
"4095","flood",5,1,0,0,6
"4096","flying",1,3,2,0,6
"4097","foes",4,1,1,0,6
"4098","formal",5,1,0,0,6
"4099","fort",5,0,0,1,6
"4100","fourteenth",6,0,0,0,6
"4101","freedom’s",2,3,1,0,6
"4102","fullest",2,4,0,0,6
"4103","fullness",6,0,0,0,6
"4104","fund",3,3,0,0,6
"4105","gale",2,3,1,0,6
"4106","gardens",0,0,1,5,6
"4107","gentlemanly",4,2,0,0,6
"4108","german",5,1,0,0,6
"4109","gift",5,0,1,0,6
"4110","gladness",3,3,0,0,6
"4111","going",0,0,0,6,6
"4112","gorgeous",2,3,0,1,6
"4113","grains",2,4,0,0,6
"4114","gratified",4,1,1,0,6
"4115","gratify",3,2,1,0,6
"4116","grip",3,2,0,1,6
"4117","grossest",0,1,5,0,6
"4118","guard",4,1,1,0,6
"4119","guide",2,3,0,1,6
"4120","hail",2,3,1,0,6
"4121","halls",3,1,0,2,6
"4122","hardy",4,1,1,0,6
"4123","harshly",3,3,0,0,6
"4124","hearers",4,2,0,0,6
"4125","heel",3,2,1,0,6
"4126","herb",3,3,0,0,6
"4127","hideous",1,2,3,0,6
"4128","hiding",3,2,1,0,6
"4129","highways",2,3,1,0,6
"4130","hopeful",4,2,0,0,6
"4131","host",3,3,0,0,6
"4132","hudson",6,0,0,0,6
"4133","humor",3,3,0,0,6
"4134","hurled",4,2,0,0,6
"4135","hushed",2,3,1,0,6
"4136","hypocrites",1,1,4,0,6
"4137","illinois",4,2,0,0,6
"4138","illness",1,3,1,1,6
"4139","illustrious",5,1,0,0,6
"4140","imagination",2,1,3,0,6
"4141","imparted",3,3,0,0,6
"4142","impartial",4,1,1,0,6
"4143","impudent",3,2,1,0,6
"4144","inattention",2,3,1,0,6
"4145","incapable",2,3,1,0,6
"4146","inconsistent",3,2,1,0,6
"4147","industrial",6,0,0,0,6
"4148","inestimable",3,3,0,0,6
"4149","informing",2,2,2,0,6
"4150","initiated",3,3,0,0,6
"4151","injure",2,3,1,0,6
"4152","injured",3,3,0,0,6
"4153","injuring",2,4,0,0,6
"4154","inmates",1,3,1,1,6
"4155","inquire",1,5,0,0,6
"4156","instructed",4,1,1,0,6
"4157","interference",3,3,0,0,6
"4158","introducing",3,3,0,0,6
"4159","irishman",2,3,1,0,6
"4160","isolated",2,4,0,0,6
"4161","issues",2,4,0,0,6
"4162","jim",2,4,0,0,6
"4163","joys",2,4,0,0,6
"4164","keenly",3,3,0,0,6
"4165","keeper",3,2,1,0,6
"4166","kemp",3,3,0,0,6
"4167","kicked",2,3,1,0,6
"4168","kind",0,0,0,6,6
"4169","lamb",3,2,1,0,6
"4170","last",0,0,0,6,6
"4171","latent",3,3,0,0,6
"4172","latitude",4,1,0,1,6
"4173","latter",0,0,0,6,6
"4174","lawyers",5,1,0,0,6
"4175","leads",2,4,0,0,6
"4176","lean",3,2,1,0,6
"4177","leap",2,3,1,0,6
"4178","legislature",2,4,0,0,6
"4179","liabilities",2,2,2,0,6
"4180","liberties",4,2,0,0,6
"4181","library",1,1,1,3,6
"4182","lightly",3,3,0,0,6
"4183","lincoln’s",6,0,0,0,6
"4184","lingered",3,2,1,0,6
"4185","lingering",2,3,1,0,6
"4186","listener",3,1,1,1,6
"4187","livelihood",4,2,0,0,6
"4188","loaned",4,1,0,1,6
"4189","loathing",2,2,2,0,6
"4190","local",3,3,0,0,6
"4191","locality",4,2,0,0,6
"4192","locks",2,3,0,1,6
"4193","loft",2,2,2,0,6
"4194","look",0,0,0,6,6
"4195","lowest",1,3,2,0,6
"4196","mad",5,1,0,0,6
"4197","magic",2,4,0,0,6
"4198","magnificent",2,3,0,1,6
"4199","maintenance",4,2,0,0,6
"4200","majestic",3,2,0,1,6
"4201","mcclellan",6,0,0,0,6
"4202","mechanical",2,2,1,1,6
"4203","merchant",4,1,0,1,6
"4204","meto",6,0,0,0,6
"4205","mexico",3,3,0,0,6
"4206","mild",3,3,0,0,6
"4207","million",4,2,0,0,6
"4208","mills",2,3,0,1,6
"4209","minded",1,2,3,0,6
"4210","minute",2,1,3,0,6
"4211","mischief",3,2,1,0,6
"4212","misfortune",3,3,0,0,6
"4213","misunderstanding",2,2,2,0,6
"4214","mobbed",5,1,0,0,6
"4215","mobs",6,0,0,0,6
"4216","mockery",3,3,0,0,6
"4217","modes",5,1,0,0,6
"4218","mourners",3,3,0,0,6
"4219","mud",1,4,1,0,6
"4220","mutually",1,3,2,0,6
"4221","mymaster",6,0,0,0,6
"4222","myown",6,0,0,0,6
"4223","nakedness",2,2,2,0,6
"4224","neatly",2,2,1,1,6
"4225","necessities",2,3,1,0,6
"4226","necked",3,3,0,0,6
"4227","net",3,3,0,0,6
"4228","nobly",3,2,0,1,6
"4229","nonsense",4,2,0,0,6
"4230","noted",5,1,0,0,6
"4231","oak",1,3,2,0,6
"4232","obdurate",0,3,3,0,6
"4233","ofa",6,0,0,0,6
"4234","ofall",6,0,0,0,6
"4235","offensive",4,2,0,0,6
"4236","ofwhich",6,0,0,0,6
"4237","onmy",6,0,0,0,6
"4238","opponents",4,2,0,0,6
"4239","orator_",0,6,0,0,6
"4240","outcast",1,1,4,0,6
"4241","pace",2,4,0,0,6
"4242","packed",3,2,0,1,6
"4243","paradise",2,3,1,0,6
"4244","parent",3,2,1,0,6
"4245","parlor",2,4,0,0,6
"4246","particulars",3,3,0,0,6
"4247","passenger",4,2,0,0,6
"4248","patiently",3,3,0,0,6
"4249","pavements",4,2,0,0,6
"4250","peaceably",2,3,1,0,6
"4251","peculiarities",1,5,0,0,6
"4252","pecuniary",5,1,0,0,6
"4253","peel",6,0,0,0,6
"4254","penetrate",2,4,0,0,6
"4255","pennington",2,2,2,0,6
"4256","perished",3,2,1,0,6
"4257","perpetual",4,1,1,0,6
"4258","perseverance",2,2,2,0,6
"4259","persevering",2,2,2,0,6
"4260","picked",3,2,1,0,6
"4261","pitch",2,3,1,0,6
"4262","piteous",2,4,0,0,6
"4263","pitied",3,3,0,0,6
"4264","planning",1,2,2,1,6
"4265","plantations",1,4,1,0,6
"4266","plea",2,3,1,0,6
"4267","popes",0,0,0,6,6
"4268","possibilities",4,1,0,1,6
"4269","precaution",2,3,1,0,6
"4270","preferences",3,3,0,0,6
"4271","premises",3,2,1,0,6
"4272","presume",2,3,1,0,6
"4273","presumption",4,2,0,0,6
"4274","pretended",2,3,1,0,6
"4275","process",2,4,0,0,6
"4276","proclaimed",4,2,0,0,6
"4277","professed",3,2,1,0,6
"4278","proportion",2,1,2,1,6
"4279","protections",1,2,3,0,6
"4280","provide",3,3,0,0,6
"4281","publish",4,1,1,0,6
"4282","pupils",4,2,0,0,6
"4283","quaker",5,1,0,0,6
"4284","qualification",5,1,0,0,6
"4285","quantity",2,3,1,0,6
"4286","queen",2,2,0,2,6
"4287","quote",2,3,1,0,6
"4288","rational",3,2,0,1,6
"4289","realized",5,1,0,0,6
"4290","rear",4,1,0,1,6
"4291","reared",2,4,0,0,6
"4292","reciprocal",3,3,0,0,6
"4293","recognizing",5,1,0,0,6
"4294","recollection",3,2,1,0,6
"4295","recollections",3,2,1,0,6
"4296","recorded",0,4,2,0,6
"4297","reduce",4,1,1,0,6
"4298","refined",3,3,0,0,6
"4299","reform",3,2,1,0,6
"4300","regulations",3,3,0,0,6
"4301","remembering",5,1,0,0,6
"4302","rendering",6,0,0,0,6
"4303","renewed",4,2,0,0,6
"4304","representing",4,2,0,0,6
"4305","requirements",4,2,0,0,6
"4306","requiring",2,3,1,0,6
"4307","requisition",5,1,0,0,6
"4308","rescue",5,1,0,0,6
"4309","resisting",2,4,0,0,6
"4310","respectability",3,3,0,0,6
"4311","response",3,1,2,0,6
"4312","retain",5,1,0,0,6
"4313","revenue",5,1,0,0,6
"4314","revivals",1,1,4,0,6
"4315","richardson",2,2,0,2,6
"4316","rigby",1,3,2,0,6
"4317","robbers",2,3,1,0,6
"4318","robbery",3,2,1,0,6
"4319","rocks",2,1,0,3,6
"4320","rolling",2,2,1,1,6
"4321","row",3,1,0,2,6
"4322","rowena",2,3,1,0,6
"4323","sail",2,1,2,1,6
"4324","sailed",1,1,2,2,6
"4325","sailors",4,2,0,0,6
"4326","saloon",2,3,0,1,6
"4327","say",0,0,0,6,6
"4328","sayings",4,2,0,0,6
"4329","scourge",4,2,0,0,6
"4330","secluded",3,3,0,0,6
"4331","secrets",3,3,0,0,6
"4332","seize",2,2,2,0,6
"4333","separating",3,2,1,0,6
"4334","servile",3,2,1,0,6
"4335","servitude",4,2,0,0,6
"4336","seventeen",1,4,1,0,6
"4337","shapes",2,2,1,1,6
"4338","shattered",2,2,1,1,6
"4339","shining",2,3,1,0,6
"4340","shops",3,3,0,0,6
"4341","shouldbe",6,0,0,0,6
"4342","shouted",5,0,1,0,6
"4343","sided",4,1,1,0,6
"4344","significance",5,1,0,0,6
"4345","silly",3,3,0,0,6
"4346","slaughter",4,2,0,0,6
"4347","slavery_",0,6,0,0,6
"4348","slowly",4,1,0,1,6
"4349","smiled",2,2,2,0,6
"4350","smitten",2,4,0,0,6
"4351","soldier",6,0,0,0,6
"4352","solicited",5,1,0,0,6
"4353","somber",3,3,0,0,6
"4354","sophia",3,2,1,0,6
"4355","soundly",3,3,0,0,6
"4356","sovereignty",6,0,0,0,6
"4357","splended",0,0,0,6,6
"4358","staggering",3,3,0,0,6
"4359","stalwart",5,1,0,0,6
"4360","stations",3,3,0,0,6
"4361","statuary",1,1,0,4,6
"4362","steady",2,3,0,1,6
"4363","steamboat",3,2,1,0,6
"4364","stepped",1,4,1,0,6
"4365","sternness",3,3,0,0,6
"4366","stolen",1,3,2,0,6
"4367","stool",2,2,2,0,6
"4368","stormy",4,2,0,0,6
"4369","strain",3,0,3,0,6
"4370","strengthened",3,3,0,0,6
"4371","stroke",1,1,4,0,6
"4372","subscribers",3,3,0,0,6
"4373","sundown",2,4,0,0,6
"4374","sunlight",2,2,0,2,6
"4375","sunrise",2,2,2,0,6
"4376","supposition",4,1,1,0,6
"4377","suspect",1,4,1,0,6
"4378","swarm",2,2,1,1,6
"4379","sweeping",3,3,0,0,6
"4380","swift",3,2,1,0,6
"4381","swim",2,3,1,0,6
"4382","sympathies",1,4,1,0,6
"4383","sympathizing",2,4,0,0,6
"4384","taken",0,0,0,6,6
"4385","talent",2,3,0,1,6
"4386","talking",2,2,1,1,6
"4387","tame",3,2,1,0,6
"4388","tearing",0,4,2,0,6
"4389","telegraph",5,1,0,0,6
"4390","temporal",2,4,0,0,6
"4391","tempted",2,3,1,0,6
"4392","thatthey",6,0,0,0,6
"4393","thecause",6,0,0,0,6
"4394","thecharacter",6,0,0,0,6
"4395","thecolored",6,0,0,0,6
"4396","theconstitution",6,0,0,0,6
"4397","thee",3,3,0,0,6
"4398","thefirst",6,0,0,0,6
"4399","theother",6,0,0,0,6
"4400","thepeople",6,0,0,0,6
"4401","thesouth",6,0,0,0,6
"4402","theunion",6,0,0,0,6
"4403","they’ll",0,0,6,0,6
"4404","thief",2,1,3,0,6
"4405","thorns",3,2,0,1,6
"4406","threaten",1,2,2,1,6
"4407","threatening",3,1,2,0,6
"4408","thrill",3,1,2,0,6
"4409","thrilled",3,3,0,0,6
"4410","thrilling",4,0,2,0,6
"4411","thy",1,2,3,0,6
"4412","ticket",3,2,0,1,6
"4413","tom’s",5,1,0,0,6
"4414","tomake",6,0,0,0,6
"4415","tomb",2,2,1,1,6
"4416","tome",6,0,0,0,6
"4417","tomorrow",0,1,0,5,6
"4418","totally",2,2,2,0,6
"4419","totell",6,0,0,0,6
"4420","trader",2,2,2,0,6
"4421","traffickers",3,3,0,0,6
"4422","trains",3,3,0,0,6
"4423","tremble",1,4,1,0,6
"4424","triumphed",4,2,0,0,6
"4425","trough",2,2,2,0,6
"4426","trousers",0,0,6,0,6
"4427","trustees",6,0,0,0,6
"4428","tub",3,2,1,0,6
"4429","turner",4,2,0,0,6
"4430","tyrant’s",3,3,0,0,6
"4431","tyrants",2,3,1,0,6
"4432","unbroken",3,2,1,0,6
"4433","uncertainty",3,3,0,0,6
"4434","undertaken",4,2,0,0,6
"4435","unending",2,3,1,0,6
"4436","unexpected",2,2,2,0,6
"4437","unfit",2,3,1,0,6
"4438","uniform",5,1,0,0,6
"4439","uphold",3,3,0,0,6
"4440","utterances",6,0,0,0,6
"4441","uttering",1,2,3,0,6
"4442","vexed",4,2,0,0,6
"4443","vicissitudes",3,3,0,0,6
"4444","vital",3,3,0,0,6
"4445","vivid",1,3,1,1,6
"4446","waked",3,2,1,0,6
"4447","walks",4,2,0,0,6
"4448","walled",1,2,1,2,6
"4449","warn",0,5,1,0,6
"4450","warned",4,1,1,0,6
"4451","wavering",3,3,0,0,6
"4452","wearing",3,2,0,1,6
"4453","webster’s",2,3,1,0,6
"4454","weekly",4,1,1,0,6
"4455","whereof",3,3,0,0,6
"4456","whippings",1,3,2,0,6
"4457","wires",5,1,0,0,6
"4458","withdrew",4,2,0,0,6
"4459","woldfolk",3,3,0,0,6
"4460","wonderfully",3,1,1,1,6
"4461","wondrous",3,2,0,1,6
"4462","work",0,0,0,6,6
"4463","worker",5,0,0,1,6
"4464","year’s",2,2,2,0,6
"4465","yonder",1,3,2,0,6
"4466","zeal",6,0,0,0,6
"4467","_far",1,4,0,0,5
"4468","_frederick",1,1,3,0,5
"4469","_him_",1,4,0,0,5
"4470","_law_",4,1,0,0,5
"4471","_master_",0,5,0,0,5
"4472","_new",2,2,1,0,5
"4473","_what_",1,4,0,0,5
"4474","_would_",3,2,0,0,5
"4475","1855",0,4,1,0,5
"4476","1859",5,0,0,0,5
"4477","1872",5,0,0,0,5
"4478","4",1,2,2,0,5
"4479","5",0,5,0,0,5
"4480","abandoned",4,1,0,0,5
"4481","ablest",4,1,0,0,5
"4482","abolish",4,1,0,0,5
"4483","abolitionism",2,2,1,0,5
"4484","accomplishing",2,2,1,0,5
"4485","accuser",3,2,0,0,5
"4486","achievement",3,1,1,0,5
"4487","acquirements",2,3,0,0,5
"4488","actions",1,1,3,0,5
"4489","actuary",5,0,0,0,5
"4490","administer",3,1,1,0,5
"4491","administered",3,2,0,0,5
"4492","admirably",2,2,1,0,5
